Plot_ID,Latitude,Longitude,DBH,Tree_Height,Crown_Width_North_South,Crown_Width_East_West,Slope,Elevation,Soil_TN,Soil_TP,Soil_AP,Soil_AN,Menhinick_Index,Gleason_Index,Disturbance_Level,Fire_Risk_Index,Health_Status
1,24.98160475,-117.040695,29.86203995,20.83568384,6.147962905,4.542719682,29.17156293,212.5184187,0.723065245,0.457221116,0.189952205,0.268850128,2.135765804,4.897270549,0.073175099,0.499670244,Healthy
2,48.02857226,-92.06693368,28.46298591,24.30707912,8.248890964,5.260920934,7.757386295,641.6403319,0.690410174,0.265053439,0.169791488,0.073259917,0.700081424,1.068691963,0.089478383,0.746746773,Unhealthy
3,39.27975767,-68.89379149,91.09418515,9.013101166,7.841448368,8.690926539,39.25775535,2510.612835,0.104796657,0.363830585,0.092196187,0.297665238,1.105824529,4.790606612,0.651973714,0.562666781,Unhealthy
4,33.94633937,-78.74425795,28.70688899,19.49647479,2.385099142,4.060039475,27.59023076,2323.628233,0.923346681,0.220843907,0.305597002,0.160818884,2.434198366,2.474709695,0.486940713,0.083302583,Sub-Healthy
5,16.24074562,-73.54071965,30.83522398,18.00888753,2.343245228,8.826847163,7.07417476,1116.863805,0.57278748,0.316867116,0.240928959,0.03091264,1.821714634,1.04036162,0.79041525,0.185580237,Unhealthy
6,16.23978081,-83.88516433,77.14283493,25.31925055,3.41356931,1.793209879,43.30521259,1192.750821,0.370088266,0.173585089,0.433521991,0.474584798,2.819922654,3.756628927,0.916270837,0.219328184,Unhealthy
7,12.32334449,-81.54064048,47.72528503,27.37043769,4.249672537,7.991185935,23.32644585,1647.307857,0.758973198,0.154073715,0.020894242,0.322537733,1.571878521,4.922161216,0.388366878,0.257864254,Healthy
8,44.64704583,-70.55630439,78.78750291,2.340389601,4.676100233,8.627928697,3.280430334,100.6989136,0.264791804,0.291223744,0.323714624,0.439074871,2.674530915,4.862502891,0.596410027,0.565403392,Sub-Healthy
9,34.04460047,-112.5232394,11.20978497,20.87255773,7.117274952,2.636358876,28.2074807,799.6085745,0.696574739,0.251574189,0.382659695,0.339647722,1.622388594,1.643748045,0.500696628,0.50396578,Sub-Healthy
10,38.32290311,-95.74025254,51.3192634,3.451402375,1.510123889,4.873118791,11.39395082,703.872245,0.049314095,0.291870503,0.380945852,0.181706928,2.948120697,1.724991224,0.981610656,0.203160038,Unhealthy
11,10.82337977,-114.5153391,8.193292017,17.36804262,1.312054338,2.489497972,36.16620533,826.4005456,0.841013957,0.146896988,0.443606614,0.258780596,2.899585953,3.262155658,0.831084407,0.067554843,Unhealthy
12,48.79639409,-60.86323944,10.95205433,10.05371641,4.527195066,7.359437161,36.80199331,2437.126943,0.453689139,0.186644127,0.365871703,0.339494646,1.322841764,3.549219306,0.911737708,0.171432204,Unhealthy
13,43.29770563,-63.91584622,91.11155807,10.58974479,7.274473229,5.818129913,44.05263101,911.054184,0.640325985,0.046529491,0.464265981,0.480324901,2.714809176,3.957671655,0.254340088,0.984381313,Unhealthy
14,18.49356443,-127.2401232,18.22831026,11.8828381,2.740918087,6.71791012,22.5841289,655.4118339,0.229025442,0.030876804,0.169665017,0.130566382,2.619028436,1.724201442,0.772526423,0.46854695,Unhealthy
15,17.27299869,-80.60973792,55.57996482,19.39618857,6.773540331,2.768382703,20.47305959,1562.364036,0.680302976,0.130461279,0.254088661,0.438113644,1.026700993,4.836028347,0.265473225,0.867345505,Unhealthy
16,17.33618039,-65.23261778,44.05408225,11.35339904,3.338453241,2.905712758,33.90640225,2610.370605,0.774517873,0.041752195,0.011969433,0.462418514,2.060726002,3.554957025,0.208742533,0.848752467,Unhealthy
17,22.16968972,-117.3597258,37.99761599,22.51557342,8.974774979,1.37347593,5.961179535,799.9141411,0.478481055,0.056368481,0.008444006,0.33685568,0.681705789,4.388187675,0.94426616,0.511519557,Unhealthy
18,30.99025727,-90.24383386,90.48416784,13.3267668,9.061209498,3.898607817,24.61119812,327.7551041,0.621549655,0.407399561,0.123862677,0.465976981,2.591776801,3.160262861,0.019304417,0.706687708,Unhealthy
19,27.27780075,-65.91581917,7.073222694,3.913889609,3.675584839,6.037701952,24.58114201,1133.573734,0.461762665,0.02424248,0.054899563,0.201949901,0.936364709,2.65710739,0.965388704,0.19275201,Unhealthy
20,21.64916561,-127.6237815,68.06002019,23.94527559,3.069943786,8.721414226,4.026290526,2268.190291,0.895150456,0.331176683,0.133804627,0.476743007,0.677036753,4.908731626,0.149261897,0.688396705,Sub-Healthy
21,34.47411579,-81.18058129,96.52247125,10.00123309,4.701735749,7.002347027,18.80928385,1697.00258,0.502890489,0.139916086,0.092636431,0.352877524,1.500547739,3.328485483,0.819438082,0.272384579,Unhealthy
22,15.57975443,-109.1855695,58.21597743,14.11747263,3.164784267,4.918566911,38.39781594,2468.700772,0.843390622,0.436415112,0.019117412,0.025792855,1.942305346,4.467494331,0.275922553,0.832062097,Unhealthy
23,21.68578594,-65.29226632,93.99813389,21.19242873,7.05145459,9.57808103,38.52691299,2882.817228,0.803338538,0.245071181,0.455105552,0.453902052,2.637292396,4.813169585,0.350702327,0.083724133,Healthy
24,24.65447373,-62.02592284,9.964498532,11.3087724,8.434582161,7.473206805,4.465694921,2398.721183,0.416399773,0.156260347,0.00907045,0.24481404,2.935606314,3.701418508,0.216757711,0.773138673,Unhealthy
